Warning Type,Individual Accounts Warned,Servers Warned,Server Members Warned
Child Safety,3185,1146,23043
Deceptive Practices,131,0,0
Exploitative and Unsolicited Content,7494,203,371489
Harassment and Bullying,3713,223,16936
Hateful Conduct,1422,419,63872
Identity and Authenticity,16,0,0
Misinformation,5,8,8797
Platform Manipulation,52,20,52
Regulated or Illegal Activities,2,22,771830
Self-Harm Concerns,222,0,0
Violent and Graphic Content,1567,289,34945
Violent Extremism,--,--,--
,,,
Sum:,"17,809","2,330","1,290,964"
